,評分,店名,連結,地點,類型,晚餐價格,午餐價格,休息日
122,3.59,Sayoko no Mise,https://tabelog.com/tw/okinawa/A4705/A470501/47001012/,,"甜甜圈, 剉冰",-,-,-
123,3.59,Sumibi Yakiniku Ishigaki An,https://tabelog.com/tw/okinawa/A4705/A470501/47019838/,,燒肉,"JPY 5,000～JPY 5,999","JPY 1,000～JPY 1,999",-
124,3.59,Funakura no Sato,https://tabelog.com/tw/okinawa/A4705/A470501/47000981/,,"沖繩料理, 日本料理, 咖啡店","JPY 6,000～JPY 7,999",-,-
125,3.59,Gokarna,https://tabelog.com/tw/okinawa/A4701/A470101/47009029/,縣政府前車站,"咖喱, 印度咖哩, 南亞料理",～JPY 999,"JPY 1,000～JPY 1,999",-
126,3.59,Teppanyaki Sawafuji,https://tabelog.com/tw/okinawa/A4701/A470101/47011120/,美榮橋車站,"鐵板燒, 牛排, 沖繩料理","JPY 8,000～JPY 9,999",-,-
127,3.59,Ishigaki Gyu MARU,https://tabelog.com/tw/okinawa/A4705/A470501/47006701/,,燒肉,"JPY 6,000～JPY 7,999",-,-
128,3.59,Fukugiya Kokusaidori Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47009394/,縣政府前車站,年輪蛋糕,"JPY 1,000～JPY 1,999",-,-
129,3.59,Kushiyaki Adan Hon Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47002061/,安里車站,"串燒, 烤雞肉串, 日式小酒館","JPY 3,000～JPY 3,999",-,-
130,3.59,Tsuchi Kaoru,https://tabelog.com/tw/okinawa/A4701/A470101/47013016/,美榮橋車站,"沖繩料理, 日式小酒館, 牛排","JPY 6,000～JPY 7,999",-,星期一
131,3.59,Chillri,https://tabelog.com/tw/okinawa/A4701/A470101/47017356/,牧志車站,冷麵,"JPY 2,000～JPY 2,999",～JPY 999,星期四
132,3.59,PIZZERIA IL TRECORDE,https://tabelog.com/tw/okinawa/A4705/A470501/47019152/,,"義大利料理, 餐飲酒館, 日式小酒館","JPY 2,000～JPY 2,999",～JPY 999,星期日
133,3.59,Kawaji Hon Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47000617/,美榮橋車站,"壽司, 日本料理","JPY 15,000～JPY 19,999",-,星期日
134,3.59,Ryutan,https://tabelog.com/tw/okinawa/A4702/A470201/47000298/,,"鐵板燒, 牛排","JPY 20,000～JPY 29,999",-,星期三
135,3.59,Teppanyaki Asahi,https://tabelog.com/tw/okinawa/A4702/A470201/47019810/,,"鐵板燒, 牛排, 牛肉料理","JPY 4,000～JPY 4,999",-,星期四
136,3.59,takos senmonten Mexico Chatan Ten,https://tabelog.com/tw/okinawa/A4703/A470304/47032070/,,塔可,-,～JPY 999,星期三、星期四
137,3.59,Kumo Zaki,https://tabelog.com/tw/okinawa/A4701/A470101/47024191/,縣政府前車站,"日式小酒館, 天婦羅, 日本料理","JPY 3,000～JPY 3,999",～JPY 999,星期日
138,3.59,rokusho.,https://tabelog.com/tw/okinawa/A4705/A470501/47026846/,,法式小酒館,"JPY 5,000～JPY 5,999",-,星期日
139,3.59,Tan Tei,https://tabelog.com/tw/okinawa/A4701/A470102/47001515/,儀保車站,"沖繩料理, 日本料理, 有機食材","JPY 20,000～JPY 29,999","JPY 6,000～JPY 7,999",星期一
140,3.59,Hoshinoya Okinawa Dining,https://tabelog.com/tw/okinawa/A4703/A470304/47029611/,,"義大利料理, 沖繩料理, 創新","JPY 20,000～JPY 29,999",-,-
141,3.59,MILANO Ryukyu Hoteru&Rizoto Najo Bichi,https://tabelog.com/tw/okinawa/A4704/A470402/47029729/,,"法式料理, 創新","JPY 10,000～JPY 14,999",-,-
142,3.59,GLOUTON SHURI,https://tabelog.com/tw/okinawa/A4701/A470101/47031248/,Omoromachi車站,法式料理,"JPY 15,000～JPY 19,999",-,星期三
143,3.58,Cafe Kurukuma,https://tabelog.com/tw/okinawa/A4704/A470403/47000018/,,"咖啡店, 泰式料理, 咖喱",-,"JPY 1,000～JPY 1,999",星期三
144,3.58,Nanapiito Honpo,https://tabelog.com/tw/okinawa/A4705/A470501/47004126/,,"咖啡店, 甜點, 便當",～JPY 999,～JPY 999,-
145,3.58,BLUE SEAL Chatan Ten,https://tabelog.com/tw/okinawa/A4703/A470304/47000118/,,"意式冰淇淋/冰淇淋, 咖啡店, 漢堡",～JPY 999,～JPY 999,-
146,3.58,Nakijin Soba,https://tabelog.com/tw/okinawa/A4702/A470202/47016234/,,沖繩麵,-,～JPY 999,-
147,3.58,Okinawa Soba Nakaza Ya,https://tabelog.com/tw/okinawa/A4701/A470103/47027747/,小祿車站,沖繩麵,-,"JPY 1,000～JPY 1,999",星期一
148,3.58,Yomitan Monogatari,https://tabelog.com/tw/okinawa/A4703/A470304/47000910/,,"沖繩料理, 創作料理, 餐飲酒館","JPY 4,000～JPY 4,999",-,星期日
149,3.58,Fukurou Tei,https://tabelog.com/tw/okinawa/A4701/A470101/47001928/,美榮橋車站,"沖繩料理, 日式小酒館","JPY 4,000～JPY 4,999",-,星期一
150,3.58,Nikuya Shokudo in Henza,https://tabelog.com/tw/okinawa/A4703/A470302/47023189/,,"牛肉料理, 食堂","JPY 3,000～JPY 3,999","JPY 3,000～JPY 3,999",星期四
