,text,color,size,position,time,sn,userid
107,8,#FFFFFF,1,0,133,44529558,st5109185
108,兄弟,#FFFFFF,1,0,135,37905019,Liny37723
109,買了會員看不了廣告呢,#FF0026,1,2,135,39669980,skfq99492p
110,嗚啦 嗚啦 嗚啦,#FFFFFF,2,2,135,40035961,egggg0720
111,可愛！,#FFFFFF,1,0,135,42832226,wwww98347
112,巴哈我大哥,#FFFFFF,1,0,140,40226966,rc20081109
113,我可以重複N次,#FFFFFF,1,0,144,42655630,Euphie617
114,兄弟，借操一下,#FFFFFF,1,0,145,37886110,hifuminagisa
115,好可愛,#FF9496,2,0,148,42344679,QAQ108017
116,嗚啦,#FFFFFF,1,0,151,41817353,cjad20010827
117,好可愛,#FF9496,1,0,152,42649121,paz76823361
118,兄弟轉個身,#FFFFFF,2,0,155,38197027,Dd090527
119,發現才1分多鐘卻要看30秒廣告，直接買付費:D,#FF9496,2,2,155,41472799,koorishin
120,烏,#FFFFFF,1,0,155,43754902,s1080025
121,好可愛哦😍🥰🥰,#FF0026,1,0,155,44501388,aliny54689
122,體感一分鐘,#FFFFFF,1,0,159,40792176,aaazxc348481
123,泰可愛辣!,#FF0026,2,0,160,43489018,tariuang
124,強烈建議買會員！！！,#FDE53D,1,0,160,43991692,sy09871601
125,兄弟你好香,#FFFFFF,1,0,162,39629298,Shsjwi
126,小可愛登場！,#FF0026,2,0,165,41104654,zzx0914
127,超可愛///////////////////,#FFFFFF,1,0,168,37088925,akarimez
128,30秒的廣告看一分半的小八.,#FFFFFF,1,0,172,37090126,murphyhu0219
129,蛤,#FFFFFF,1,0,173,42646453,eric200571
130,2024/11/28 二刷 求更新,#FFFFFF,0,0,175,42913488,aids123die
131,你好可愛啊🥹,#FFFFFF,1,0,176,39508940,amandalin607
132,好可哀,#FFFFFF,1,0,176,42513019,wugu10416
133,兄弟 吃統一布丁囉,#FFFFFF,1,0,177,39288033,Nakobalala
134,開頭就玩食物,#FFFFFF,1,0,179,43844028,egriawei
135,超可愛,#FFFFFF,1,0,179,44179850,g840483938
136,好好看啊！,#FFFFFF,1,0,184,44456224,nxjhcfynvq
137,啊啊啊超可愛 我沒了///,#FFFFFF,1,0,185,37106243,blight0710
138,聽說辱華了 來看看是什麼神作,#FFFFFF,1,0,185,38868903,IamBongu0626
139,兄弟,#FFFFFF,1,0,186,37249637,designer22
140,簽,#FFFFFF,1,0,188,42532155,rosa0812
141,好萌喔,#FFFFFF,1,0,191,43650216,annana566
142,兄弟....,#FFFFFF,1,0,192,40389980,llennskadi
143,呀!!!!,#FFFFFF,1,0,193,41946183,Onandoff
144,兄弟…,#FFFFFF,1,0,195,37292990,enjoyuting
145,為了看 兄弟，你好香 買會員,#FFFFFF,1,0,197,41802021,a24060535
146,兄弟 轉身 有急事,#FFFFFF,1,0,198,38904909,Isjskana
147,我的吉伊宝宝！！,#FFFFFF,1,0,200,39826739,IIJiYi107
148,好可愛！！！！,#FF0026,2,0,200,43658861,qwq1204
149,這三小,#FFFFFF,1,0,201,41353244,BHSN00002kht
150,兄弟 你好有味道,#FFFFFF,1,0,201,41924853,hhhh8514
151,吉哇,#FF0026,1,0,208,41386750,redskycity
152,兄弟有急事,#FFFFFF,1,0,210,38771376,Steven1226
153,烏薩奇我寶貝,#FFFFFF,1,0,210,38905005,n1073219
154,兄弟你好香,#FF0026,2,2,210,41495379,n5gh98vz4n
155,這三小,#FF0026,2,1,215,38403282,smoonzz
156,好可愛啊天,#FFFFFF,1,0,215,42318674,wxiaomei945
157,布丁兔兔！！！,#FDE53D,1,0,220,38517823,linliyan6008
158,黏黏黏,#FFFFFF,1,0,220,40271970,Bananaaa
159,啊啊啊可愛,#FF02D3,1,0,220,42925458,angel1joanne
160,我第一次看,#FFFFFF,1,0,221,41164994,tsubakilee
161,體感一分鐘WWW,#FFFFFF,1,0,221,41597794,nico7214034
162,好可愛喔,#FFFFFF,1,0,223,37089664,torappub70
163,看巴哈那麼久 竟然是因為吉伊卡哇課金,#FFFFFF,1,0,225,42426973,Roubert
164,第一次在巴哈課金就為了吉伊卡哇,#FFFFFF,1,0,225,43478064,ch0922
165,池沼布丁,#FF9625,2,1,235,37097163,w3616327
166,我是新粉🤡🤡,#FFFFFF,1,0,235,42318680,wxiaomei945
167,好可愛😍😍,#FFFFFF,1,0,236,41012224,kaito0621
168,幹我跟我同學ww,#FFFFFF,1,0,240,37884243,c107049
169,首刷 機率下 2024/9/1,#FFFFFF,1,0,240,41578076,S1104930830
170,兄弟，你好香( 。ớ ₃ờ)ھ,#FFFFFF,1,0,246,42323685,gndr1798
171,兄弟操我,#00FF91,2,0,247,37385442,iowabb61
172,卡哇,#FFFFFF,1,0,249,37090109,kodgreen59
173,烏拉,#FFFFFF,1,0,250,37088965,hettt5655
174,兄弟 你好香,#FFFFFF,2,0,252,37590354,C8763jason
175,最愛兔哥烏薩奇,#FFFFFF,1,0,252,41204719,jessie78327
176,晴空塔有看到這段,#FFFFFF,1,0,258,37105528,mu317666
177,"有人在嗎嘉義

有人在嗎+1",#FFFFFF,1,0,259,41165004,tsubakilee
178,我就來看看他在紅什麼,#FFFFFF,1,0,260,41587998,Yan705
179,為什麼會有HOMO發言啊！,#FFFFFF,1,0,262,38747311,HeyMeow
180,兄弟你好香,#FFFFFF,1,0,265,37200055,BHSN00005180
181,互舔就是另外的分類了,#FFFFFF,1,0,267,39361498,TAITAN
182,可愛,#00C3FC,1,0,267,40894454,kekerry75
183,2024/8/26一刷,#FFFFFF,1,0,267,41455922,cupid005
184,兄弟你好香XD,#FFFFFF,1,0,275,42218642,Jing54017
185,兄弟,#FFFFFF,1,0,284,38507836,badkin
186,為了吉伊我脫離當免費仔,#FF0026,2,2,285,41698846,Lancelot1204
187,啊啊啊啊啊好可愛,#FF0026,1,0,285,43658863,qwq1204
188,好可愛～^ _ ^😍,#FFFFFF,1,0,290,44530212,a8962189
